Transaction ID,Transaction Type,Transaction Date,Transaction Status,Transferring Registry,Transferring Account Type,Transferring Account Name,Transferring Account Identifier,Transferring Account Holder,Acquiring Registry,Acquiring Account Type,Acquiring Account Name,Acquiring Account Identifier,Acquiring Account Holder,Nb of units,Option
EU483614,10-0,2019-02-13 10:06:47.114,Completed,Poland,100,TAURON Polska Energia S.A.,5019474,TAURON Polska Energia S.A.,Poland,100,Zakład Wytwarzania Nowa,5003409,TAMEH Polska Sp. z o. o.,30000,Details
EU483486,10-0,2019-02-13 10:06:37.718,Completed,Italy,100,Aitherco2 SpA,5016984,AitherCO2 SIM SpA,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,13000,Details
EU483626,10-0,2019-02-13 10:06:19.777,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Netherlands,100,USG handelsrekening,5011363,Utility Support Group (USG) B.V.,20000,Details
EU483632,10-0,2019-02-13 10:06:01.595,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Ciepłownia Centralna,5002524,Przedsiębiorstwo Energetyki Cieplnej w Ciechanowie Sp. z o.o.,4000,Details
EU483631,10-0,2019-02-13 10:05:14.285,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Spain,100,"Mostos Vinos y Alcoholes, S.A.",5009213,"Mostos Vinos y Alcoholes, S.A.",10000,Details
EU483545,10-0,2019-02-13 10:04:37.459,Completed,Germany,100,Bayern LB,5016942,Bayerische Landesbank,Germany,100,531 - Anlagenkonto,5015466,Wepa Deutschland GmbH & Co. KG,10000,Details
EU483577,10-0,2019-02-13 10:04:29.638,Completed,United Kingdom,100,Mitsui Bussan Commodities Ltd,5017395,Mitsui Bussan Commodities Ltd,United Kingdom,100,ED&F Man Capital Markets Ltd,5023256,E D & F MAN CAPITAL MARKETS LIMITED,185000,Details
EU483630,10-0,2019-02-13 10:04:04.833,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Ciepłownia Hankówka,5003385,Miejskie Przedsiębiorstwo Energetyki Cieplnej Sp.,1000,Details
EU483555,10-0,2019-02-13 10:03:17.88,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,Ireland,100,Operator Account,5011963,Limerick Alumina Refining Limited,45893,Details
EU483552,10-0,2019-02-13 10:02:36.761,Completed,United Kingdom,100,Redshaw Advisors,5023004,Louis Redshaw,Greece,100,HERON2,5002426,ΘΕΡΜΟΗΛΕΚΤΡΙΚΟΣ ΣΤΑΘΜΟΣ ΒΟΙΩΤΙΑΣ  ΗΡΩΝ II,3900,Details
EU483629,10-0,2019-02-13 10:02:36.242,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,Instalacja produkcji cukru,5002923,Krajowa Grupa Spożywcza S.A.,5474,Details
EU483571,10-0,2019-02-13 10:01:44.379,Completed,United Kingdom,100,Gazprom Marketing & Trading Retail (Trading Account),5017319,Gazprom Marketing & Trading Retail Ltd,United Kingdom,100,Equinix UK Ltd,5023808,Equinix (UK) Limited,791,Details
EU483627,10-0,2019-02-13 10:01:26.906,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,Poland,100,ENERGA Elektrownie Ostrołęa SA,5003353,ENERGA Elektrownie Ostrołęka S.A.,10000,Details
EU483625,10-0,2019-02-13 10:01:08.781,Completed,Netherlands,100,Vertis Environmental Finance Ltd,5017659,Vertis Environmental Finance Ltd,United Kingdom,100,Sedamyl Selby,5018420,Sedamyl UK Limited,504,Details
EU483619,10-0,2019-02-13 10:00:48.345,Completed,Spain,100,"Naturgy Energy Group, S.A.",5017187,"Naturgy Energy Group, S.A.",Spain,100,"Global Factor Commodity Trading, S.A.U.",5016901,"Global Factor Commodity Trading, S.A.U.",10000,Details
EU483565,10-2,2019-02-13 07:33:35.012,Completed,United Kingdom,100,Virtus Holdco Limited,5022961,Virtus Holdco Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,38,Details
EU483567,10-2,2019-02-13 07:32:41.572,Completed,United Kingdom,100,VIRTUS,5025119,Virtus Hayes Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,31,Details
EU483570,10-2,2019-02-13 07:31:03.62,Completed,United Kingdom,100,Stockley Park LON5,5027628,Virtus LONDON 5 Limited,European Commission,100,EU Allowance deletion,5016380,European Commission,11,Details
AU11840,3-0,2019-02-13 05:51:21.229,Completed,Australia,100,,2848,,Norway,100,Kinect Energy AS,5020081,Kinect Energy AS,3000,Details
EU483600,10-36,2019-02-13 01:30:27.652,Completed,European Commission,100,EU ALLOCATION ACCOUNT,5022208,EUROPEAN UNION,Hungary,100,Operator Account:HU230,5011855,ZALAKERÁMIA ZRt.,18805,Details
